,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Roofing Project Manager/IT Person,Bremerton,Jun  8,https://seattle.craigslist.org/kit/sof/d/bremerton-roofing-project-manager-it/7138022837.html,"
compensation: 50k - 70k D.O.E.

employment type: full-time

","

QR Code Link to This Post


Cloise And Mike Construction is a Roofing Company seeking a Project manager, with experience in both the construction industry and Information Technology (IT) including web and application development and database design. Starting wage 50k - 70k  D.O.E.  Medical, Retirement 3% Match, Vacation.

Responsibilities include:
Customer service skills, scheduling, follow up, job work flow.
Order and schedule material Loads for roofing crews.
Input Data using a basic CRM for construction/roofing industry.
Provide technical leadership and direction for a Roofing sales staff.
Designing, developing, engineering and implementing solutions.
Work closely with management, sales, and installation crews to ensure Projects stays on track-troubleshooting, innovating, and improving existing protocols. 
Manage accounts and billing.
Create spreadsheets using Google Docs, Sheets, ETC.

Knowledgeable with: 
Technical designs, developed code, and quality standards for custom site features.
Developing front end website architecture.
Designing user interactions on web pages.
Developing back end website applications.
Creating servers and databases for functionality.
Ensuring cross-platform optimization for mobile phones.
Ensuring responsiveness of applications.
Designing and developing APIs.
Staying abreast of developments in web applications and programming languages.

Qualifications:
Capable of following detailed and intricate direction.
Good problem-solving skills.
Excellent verbal communication skills.
Diverse range of experience at an enterprise level in IT.
Experienced and knowledgeable tech-agnostic
Understanding of fundamental design principles for building scalable applications
Demonstrated and in-depth knowledge of Quality Assurance and Business Architecture policies and processes.
Database development and design knowledge.
Proficiency with fundamental front-end languages such as HTML, CSS and JavaScript.
Familiarity with JavaScript frameworks such as Angular JS, React and Amber.
Proficiency with server-side languages such as Python, Ruby, Java, PHP and .Net.
Familiarity with database technology such as MySQL, Oracle and MongoDB.
"
2,Technical Project Manager,Redmond,Jun  4,https://seattle.craigslist.org/est/sof/d/redmond-technical-project-manager/7135856699.html,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


Headquartered in Washington, Affirma is a full-service technology consultancy looking for a Technical Project Manager to join an exciting client of ours in Redmond!  In this role, you’ll be welcomed into a team, with a mission to ensure comprehensive security and effective operations for all instances and aspects in use across Gaming. You will have the opportunity to work with many security groups and experts across Microsoft, and have a direct impact improving Microsoft and Gaming security. 

Responsibilities
• Help with the execution and kickoff of projects alongside the Security Champs
• Daily support for managing delivery of project tasks, activities, milestones and resources
• Develop, maintain, and manage project requirements, plans, timeline, issues, risks and challenges
• Facilitate Community Support to drive impact
• Provide status updates and drive proper escalations
• Support creation of the rhythm of business (ROB) processes to drive clarity across teams
• Drive targeted improvements across Gaming Security
• Monitor and respond to incoming communications
• Schedule, facilitate, and manage regularly occurring meetings
• Actively participate and manage the online champion community
• Monitor daily/monthly reports and track trends
• Research, build, and execute plans to help improve the community

Qualification 
• Highly technical background in project management and infrastructure
• Ability to meet project milestones and deliver projects on their designated timeline
• Self-motivated and able to work in a technical and ambiguous environment
• Ability to develop and maintain projects that are technical in nature
• Must be familiar with operational infrastructure and services
• Ability to think on your feet and come up with solutions
• Strong communication skills
• Experience working in a SCRUM/Agile environment
• Must have experience building live services
• Experience with Azure Native, Fabrics, AWS, and EAP
• Ability to create and foster a clear, consistent, and collaborative environment with partners across gaming and MSFT
• Ability to work in a rapidly changing environment

Nice to have
• A background in security and/or data
• Experience with PowerBI
• Experience with Excel
• Experience with Kusto

Why Affirma?
• One of Washington's Fastest Growing Private Companies & Top 100 Best Companies to Work For (According to Seattle Business Magazine and Puget Sound Business Journal)
• Casual environment, surrounded by incredibly intelligent and motivated co-workers, and a performance-driven culture
• Flexible Schedule
• Opportunity for growth
• Great location, great people, exciting projects, and tons of fun. 


Interested in this opportunity?  Please visit https://www.affirmaconsulting.com/jobs/ to submit a resume and application!  When applying, please refer to the job opening ID # 1032.    "
3,Senior Full Stack / Front End Engineer - Contract / Contract to Hire,"Kirkland, WA",Jun  4,https://seattle.craigslist.org/est/sof/d/kirkland-senior-full-stack-front-end/7135819977.html,"
compensation: DOE

employment type: contract

","

QR Code Link to This Post


Senior Full Stack / Front End Engineer 
Contract/Contract to FTE
Kirkland, WA

Eastside client is looking for a software engineer who has solid experience in full stack/front end development.  Our company is all about data and helping our customers make critical and real time decisions.  You will utilize your strong front end and full stack experience to help build rich UI’s, features and web apps.  

Requirements:
•              5+ years’ experience with full stack/front end development
•              Solid JavaScript experience, specifically Vue.js for building UI’s and single page apps
•              Classic front end web experience with HTML, CSS
•              Comfortable developing and deploying on AWS
•              Comfortable identifying roadblocks and helping with solutions, bug fixes, etc.

Nice to have experience:
•              D3 and other data visualization tools and libraries
•              GraphQL API’s and Nuxt framework used in conjunction with Vue.js

For consideration, please send resumes to jeffr@triadgroup.com.  Prefer local engineers to Seattle that can work on W2.  

Jeff Roodhouse
TRIAD Group
jeffr@triadgroup.com
"
4,VP of Data,"Seattle, WA",Jun  3,https://seattle.craigslist.org/see/sof/d/seattle-vp-of-data/7135160531.html,"
compensation: Base DOE + Generous RSU + Bonus

employment type: full-time

","

QR Code Link to This Post


Vice President of Data

We are recruiting a VP of Data for a global SaaS firm with a industry leading product. This is a newly created role that will be focused on creating an enterprise data strategy and implementing it. In this role you will work at a cross-section of software engineering and business leadership and will oversee data strategy including compliance, governance, and security issues along with building and leading a team of data and technical professions. This company has a fantastic work culture with excellent benefits and compensation. They maintain a high standard of hiring, providing an top tier team of professionals to work with who have incredibly reputable backgrounds. We have a preference for this position to be based in Seattle, with secondary preference for a Bay Area location. This is a full-time permanent position.

We are seeking those with:
+ 12+ years of relevant experience in progressive business leadership roles
+ Strong experience across large-scale software products, ideally with a global reach
+ A broad range of experience covering technical operations with a strong understanding of data platforms
+ A recent background in technical operations roles with a earlier career in roles such as software engineering, data engineering or data analyst roles
+ Understanding of data privacy laws, governance and compliance
+ Experience and ability to work at a very high-level of professionalism, interacting with the C-Level executives regularly

If this description piques your interest, please apply with a resume attached. Our recruiter will reach out asap for a confidential discussion.     "
5,Senior / Lead Machine Learning Engineer,Seattle,Jun  3,https://seattle.craigslist.org/see/sof/d/seattle-senior-lead-machine-learning/7135152173.html,"
compensation: DOE - Competitive

employment type: contract

","

QR Code Link to This Post


We’re working with one of our favorite long term clients in the streaming media space who is now offering exciting technical challenges at scale in a well run and positive engineering environment.

Right now, we’re looking for a Senior / Lead Machine Learning Engineer with extensive experience partnering with Data Scientists to build machine learning models and bring them into production. You’ll work across engineering and machine learning disciplines, at the intersection between modeling and practical application. This high impact work enables agile decision making and personalization for millions of customers.

You will:

Productionalize and deploy machine learning models, in close collaboration with Data Scientists
Create ML frameworks for use across the organization, with an eye towards scalability, performance and extensibility 
Act as a Lead and SME for Machine Learning Engineering: You’ll evangelize new solutions, approaches, and technologies, and stay at the forefront of ML Engineering
Leverage statistical methodologies to ensure accuracy and efficiency
Build out machine learning models, backend services and ML frameworks

You have / are:

Extensive, hands-on software development experience in highly scaled environments
Real world, practical experience building machine learning systems for applications in production environments
Closely collaborated with a range of technical and non technical stakeholders, and specifically Data Scientists
Experience with Python, AWS, machine learning and deep learning frameworks, libraries such as TensorFlow, SageMaker, PyTorch, etc.
Self starter and innovator who likes to solve complex problems
Exceptional skills working autonomously and collaboratively; strong drive and self-direction
Be a good person; we’re proud to work with every single Rooster Park engineer and you will be too!

We pay competitively and have excellent healthcare and other benefits. This is a consulting opportunity based in Seattle, WA, temporarily working remotely due to COVID-19. Unfortunately at this time we are not able to provide sponsorship for employment and request no agency submissions. Thank you!

We're Rooster Park, and we're a boutique consulting and recruiting agency obsessed with finding the right fits for a small set of partners. You can learn more at http://www.roosterpark.com/. Hope to hear from you!    "
6,Data Science Fellowship,N/A,Jun  2,https://seattle.craigslist.org/see/sof/d/seattle-data-science-fellowship/7134818832.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

","

QR Code Link to This Post


What is Pathrise

Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from heads of marketing of publicly traded companies to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 500 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship

The Pathrise Fellowship is a program for students and new grads that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry data scientists, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission

We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications

You want to work with an experienced advisor who can give you expert advice.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=seattledata&utm_medium=job_board "
7,Software Engineering Fellowship,N/A,Jun  2,https://seattle.craigslist.org/see/sof/d/seattle-software-engineering-fellowship/7134817151.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting ok

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued tech professionals by coaching them to get a competitive job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 600 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new professionals that helps you land the best job possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for tech professionals in their career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are interested in getting the best possible job in tech.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=craigslist&utm_campaign=seattleswe&utm_medium=job_board "
8,Senior Ruby on Rails Developer - Full Stack - DevOps - Passionate,Mountlake Terrace,Jun  1,https://seattle.craigslist.org/see/sof/d/mountlake-terrace-senior-ruby-on-rails/7134062713.html,"
compensation: $110k - $146k (DOE)

employment type: full-time

","

QR Code Link to This Post


We are currently looking for a talented Senior Ruby on Rails Developer to work within our growing development team.  This is an exciting opportunity to have an impact on small businesses worldwide, while engineering a product that is interesting to work on (we aren't building insurance software or anything like that)!  You will be instrumental in supporting our legacy product that is currently used by more than 700 game and hobby stores businesses, as well as developing the future of the https://www.CrystalCommerce.com experience.
https://www.crystalcommerce.com/booth-directory/ https://www.crystalcommerce.com/blog/
This is a full-time position at our office, just North of Seattle, WA. We are looking for an experienced candidate to help our growing company, and the incredible businesses we support achieve even greater things. To learn more about what we do and how you may be able to help, please visit our website.

Position Summary

The Senior Ruby on Rails Developer at CrystalCommerce will report to the Head of Engineering and work alongside other talented members of the cross functional and collaborative team. We have a great group and a strong culture of positive mindset and never giving up. We seek to make massive global social impacts, and to economically empower entrepreneurs with a competitive advantage to help local win big. 

Primary Responsibilities:
Extract legacy functionality from core platform into new services.
Work with in-house and contract resources to resolve major performance bottlenecks.
Mentor DevOps best practices with junior members of the team.
Work with other members of the team to streamline development and testing processes.
Basic Qualifications:
BA/BS degree in Computer Science, related degree or equivalent practical experience.
5+ years of Ruby on Rails development experience.
5+ years of DevOps experience supporting live site and production systems.
Highly Desired Qualifications:
Open source contributions
Gem author, familiar with tools and publishing gems, how to modularize code into gems.
Data model design: knows the pros and cons of different data store technologies, and can design data models to take advantage of them.
Experience with data visualization and other languages such as javascript, react, angular.js, ember.js, etc when it is needed by our applications.
About the Team

Our growing engineering team is governed by the following set of principles:
Well tested code - both coder and reviewer agree it meets the standard
Leave it better than you found it, even if it's just adding comments about how it could be fixed
There are no dumb questions
Be excellent to each other
Don't repeat yourself (modularity, libraries)
Single responsibility principle
Data integrity is NOT optional
Tasks are idempotent
Pair when possible
No Silos
No blame
What we Offer!

Benefits Include:
Competitive Pay (This is a salaried position).
Comprehensive Insurance Package - Medical insurance is covered up to 75% for you AND your family.
Flexible work schedule and telecommuting opportunities.
401(k) with company matching up to 4%.  Immediately eligible.  Immediately vested. 
Two weeks of paid vacation per year to start, with bonuses for tenure.
8 paid Holidays per year.
Paid Maternity and Paternity Leave
Office Cats! We have two of them, Buddy and Fred.
To Apply

Please send a resume and cover letter to apply for this position.  Failure to do say may result in your application not being accepted.
"
9,"Engineering Program Specialist, Hardware | $45 - $51 per hour",N/A,Jun  1,https://seattle.craigslist.org/skc/sof/d/seattle-engineering-program-specialist/7134022225.html,"
compensation: $45 - $51 per hour

employment type: full-time

","

QR Code Link to This Post



If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/4b12ce76/apply


HireArt is helping the world's largest social network find an Engineering Program Specialist, Hardware to help oversee operations related to the design and release of AR/VR products. The ideal candidate will have 2+ years' experience as an engineering program specialist and excellent cross-functional communication skills. As Engineering Program Specialist, Hardware, you will: 
Coordinate with other teams to create and handle bill of materials, part numbers, and release design and drawings documentation.
Create purchase requisitions, maintain invoice tracking and goods receipts against spend, and forecast budget.
Assist with third-party contractors, including adding vendors to system and guiding them through onboarding steps.
Assist technical program managers in driving cross-functional sign-off process.
Communicate with vendors regarding PO/invoices, material requirements, and delivery schedules.
Support build matrix for engineering builds, working with engineers and vendors to manage day-to-day build activities and ocumenting and communicating local build progress.
Travel to support proto-builds at contract manufacturer local and overseas, as needed.
Review clear-to-build reports, resolve material shortage issues, and follow up with technical project management and engineering teams.
Create, handle, and process engineering change orders, manufacturer change orders, and deviations work on multiple projects simultaneously.
Track shipments and work with CM on shipment schedule from factory.
Work with internal device distribution and security team for prototype allocation/tracking and recall/rework.
Part and assembly-level tracking (e.g. CAD release, 2D drawing release, and revision tracking) as needed. 
Change control board tracking; issue organization and tracking; production requirement document coordination; and KPI task tracking as needed.
Create and maintain product development process templates as needed.


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/4b12ce76/apply


Requirements

2+ years experience as an Engineering Program Specialist in consumer electronics environment
Experience in new product introduction hardware development and collaboration with contract manufacturers in Asia
Experience in creating and tracking bill of materials and build matrix by working with engineering, technical project managers, and product life cycle team to complete design releases and clear-to-build tracking.
Excellent cross-functional communication skills across time-zones and management of shifting priorities.
Preferred Qualifications: 
Bachelor's degree in engineering, science, physics, or equivalent experience
5+ years experience as an Engineering Program Specialist in a consumer electronics environment
Commitment: This is a full-time (40 hours per week), 6-month contract position through HireArt and based in Seattle, WA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/4b12ce76/apply

 "
10,Salesforce Consultant,Bellevue,May 29,https://seattle.craigslist.org/est/sof/d/bellevue-salesforce-consultant/7132342100.html,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


At Affirma, the CRM Practice is responsible for designing and implementing world-class CRM solutions for our clients. We are devoted to exceeding client expectations through innovative design, business process improvement, and excellence in technology. We promote a company culture that thrives on collaboration, encourages creativity and empowers our employees to drive change.

Affirma is looking for a Salesforce Consultant with in-depth experience across the Salesforce platform. In this role, you will be responsible for managing the design, implementation and support of mission-critical Salesforce solutions for enterprise clients. You will have the opportunity to join a fast-growing team, leverage your consulting experience to design strategy for our clients, and educate them on best practices and platform capabilities. You will work with Affirma’s Salesforce Architects, Developers and Administrators to design scalable, innovative solutions following Salesforce best practices.

Responsibilities
• Leading Salesforce projects with direct involvement and oversight for developing business requirements, specifications, process flows, application design, application configuration, and testing processes
• Effectively managing multiple client relationships by directing work of project team members, assigning duties, setting deadlines, monitoring progress and performing applicable follow-up
• Owning the overall design of the technical application by mapping business requirements to system/technical requirements
• Work with clients to develop strategy, gather requirements, and define business processes
• Effectively developing Business Process, Process Flow Analysis, Requirements Definition, Data Models, Detailed Functional Design, Executive Summaries and Project Plans
• Develop user stories and future-state process flows to support the design and development of Salesforce solutions
• Working collaboratively with Technical Leads and Developers in writing articulate technical specifications documentation.
• Lead the implementation of scalable, innovative Salesforce solutions using best practices in Salesforce configuration and development.
• Designing creative solutions that exceed client expectations using configuration tools, and minimal development of custom code.
• Analyzing and identifying areas of risk and developing plans to mitigate
• Effectively facilitate key client meetings including discovery sessions, presentations, system demos, user acceptance testing, and end user training
• Providing ongoing systems administration, data management, documentation, reporting, end-user training, and business process innovation.
• Participating in pre-sales engagements with clients to determine business requirements and recommend optimal solutions based on client needs 


Qualifications
• 4-year degree in Business, Computer Science, Engineering, MIS or equivalent
• 4+ years’ Salesforce experience required
• Experience developing CRM solutions for business processes related to sales, customer service, and/or marketing required
• Experience implementing Salesforce Sales Cloud, Service Cloud, Community Cloud, and/or Marketing Cloud required
• Experience with Salesforce Integration and Data Migration projects required
• Consulting experience required
• Salesforce Certification(s) required
• Experience with Salesforce CPQ is a plus


What Affirma Offers
• The opportunity to work with experienced technologists on enterprise scale CRM implementations.
• Amazing opportunities for career growth and development.
• Plenty of opportunity to learn as well as apply your talents and previous experience.
• A fun and laid-back yet challenging work environment.
• Awesome coworkers who care about their work and each other.
• A great office in Bellevue, with the freedom to work remotely when necessary.


The Benefits
• Paid Time Off (PTO)
• Paid Holidays
• 401(k) Retirement Plan
• Health, Dental, Vision, Life, as well as, Short-Term and Long-Term Disability insurance
• Monetary assistance with training and certifications


Interested in this role?  Head to https://www.affirmaconsulting.com/jobs/ and submit your resume and application today!  When applying, please refer to the job opening ID # 1031.    "
